"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2014","1.1362","1.1434","1.1572","1.1220","","-0.61%"
"09/01/2014","1.1432","1.0719","1.1516","1.0635","","6.81%"
"08/01/2014","1.0703","1.0759","1.0825","1.0666","","-0.48%"
"07/01/2014","1.0755","1.0599","1.0778","1.0518","","1.46%"
"06/01/2014","1.0600","1.0735","1.0833","1.0585","","-1.30%"
"05/01/2014","1.0740","1.0768","1.0868","1.0625","","-0.20%"
"04/01/2014","1.0761","1.0795","1.0863","1.0567","","-0.28%"
"03/01/2014","1.0791","1.1222","1.1249","1.0756","","-3.63%"
"02/01/2014","1.1197","1.1425","1.1454","1.1012","","-1.94%"
"01/01/2014","1.1418","1.1217","1.1548","1.1003","","1.88%"
"12/01/2013","1.1207","1.0978","1.1335","1.0905","","2.13%"
"11/01/2013","1.0973","1.0572","1.1044","1.0477","","3.81%"
"10/01/2013","1.0570","1.0733","1.0764","1.0249","","-1.46%"
"09/01/2013","1.0727","1.1185","1.1207","1.0493","","-4.50%"
"08/01/2013","1.1232","1.1130","1.1302","1.0829","","0.92%"
"07/01/2013","1.1130","1.0944","1.1187","1.0731","","1.79%"
"06/01/2013","1.0934","1.0376","1.0975","1.0209","","4.69%"
"05/01/2013","1.0444","0.9642","1.0496","0.9630","","8.34%"
"04/01/2013","0.9640","0.9600","0.9785","0.9448","","0.46%"
"03/01/2013","0.9596","0.9789","0.9887","0.9524","","-1.93%"
"02/01/2013","0.9785","0.9590","0.9821","0.9560","","2.05%"
"01/01/2013","0.9588","0.9619","0.9639","0.9433","","-0.29%"
"12/01/2012","0.9616","0.9585","0.9668","0.9445","","0.37%"
"11/01/2012","0.9581","0.9639","0.9722","0.9531","","-0.59%"
"10/01/2012","0.9638","0.9645","0.9855","0.9602","","0.02%"
"09/01/2012","0.9636","0.9715","0.9839","0.9410","","-0.46%"
"08/01/2012","0.9681","0.9531","0.9732","0.9420","","1.62%"
"07/01/2012","0.9527","0.9747","0.9902","0.9487","","-2.38%"
"06/01/2012","0.9759","1.0281","1.0438","0.9746","","-5.04%"
"05/01/2012","1.0277","0.9592","1.0339","0.9585","","7.16%"
"04/01/2012","0.9590","0.9605","0.9781","0.9545","","-0.75%"
"03/01/2012","0.9662","0.9318","0.9706","0.9242","","3.74%"
"02/01/2012","0.9314","0.9418","0.9463","0.9209","","-1.11%"
"01/01/2012","0.9419","0.9785","0.9858","0.9355","","-3.69%"
"12/01/2011","0.9780","0.9727","1.0142","0.9632","","0.51%"
"11/01/2011","0.9730","0.9483","1.0350","0.9462","","2.55%"
"10/01/2011","0.9488","1.0341","1.0653","0.9298","","-8.26%"
"09/01/2011","1.0342","0.9359","1.0404","0.9287","","10.68%"
"08/01/2011","0.9344","0.9088","1.0073","0.9036","","2.81%"
"07/01/2011","0.9089","0.9332","0.9503","0.9023","","-2.49%"
"06/01/2011","0.9321","0.9381","0.9625","0.9279","","-0.51%"
"05/01/2011","0.9369","0.9109","0.9579","0.9079","","2.78%"
"04/01/2011","0.9116","0.9681","0.9721","0.9108","","-5.84%"
"03/01/2011","0.9681","0.9818","1.0302","0.9639","","-1.37%"
"02/01/2011","0.9815","1.0027","1.0058","0.9801","","-2.10%"
"01/01/2011","1.0026","0.9794","1.0201","0.9776","","2.62%"
"12/01/2010","0.9770","1.0423","1.0485","0.9750","","-6.39%"
"11/01/2010","1.0437","1.0151","1.0479","0.9819","","2.69%"
"10/01/2010","1.0164","1.0353","1.0481","0.9995","","-1.72%"
"09/01/2010","1.0342","1.1206","1.1221","1.0272","","-7.87%"
"08/01/2010","1.1225","1.1039","1.1402","1.0842","","1.51%"
"07/01/2010","1.1058","1.1908","1.2026","1.1025","","-7.11%"
"06/01/2010","1.1905","1.1801","1.2363","1.1285","","0.78%"
"05/01/2010","1.1813","1.0836","1.2397","1.0779","","9.23%"
"04/01/2010","1.0815","1.0903","1.0949","1.0658","","-0.85%"
"03/01/2010","1.0908","1.1159","1.1193","1.0808","","-2.34%"
"02/01/2010","1.1169","1.1359","1.1660","1.1024","","-1.19%"
"01/01/2010","1.1304","1.1143","1.1321","1.0717","","1.44%"
"12/01/2009","1.1144","1.0919","1.1450","1.0722","","2.01%"
"11/01/2009","1.0924","1.1144","1.1228","1.0630","","-1.75%"
"10/01/2009","1.1119","1.1314","1.1672","1.0721","","-1.74%"
"09/01/2009","1.1316","1.1850","1.2133","1.1300","","-4.45%"
"08/01/2009","1.1843","1.1972","1.2264","1.1794","","-1.07%"
"07/01/2009","1.1971","1.2409","1.2986","1.1951","","-3.42%"
"06/01/2009","1.2395","1.2452","1.2840","1.2099","","-0.69%"
"05/01/2009","1.2481","1.3787","1.3809","1.2473","","-9.44%"
"04/01/2009","1.3782","1.4464","1.4588","1.3541","","-4.61%"
"03/01/2009","1.4448","1.5650","1.5911","1.4097","","-7.56%"
"02/01/2009","1.5629","1.5732","1.6011","1.4598","","-0.75%"
"01/01/2009","1.5747","1.4233","1.5764","1.3759","","11.42%"
"12/01/2008","1.4133","1.5317","1.5893","1.4007","","-7.55%"
"11/01/2008","1.5287","1.4963","1.6461","1.4255","","2.10%"
"10/01/2008","1.4973","1.2580","1.6647","1.2470","","18.95%"
"09/01/2008","1.2588","1.1674","1.2818","1.1648","","8.03%"
"08/01/2008","1.1652","1.0621","1.1776","1.0615","","9.75%"
"07/01/2008","1.0617","1.0434","1.0642","1.0150","","1.70%"
"06/01/2008","1.0440","1.0471","1.0723","1.0340","","-0.20%"
"05/01/2008","1.0461","1.0600","1.0783","1.0355","","-1.40%"
"04/01/2008","1.0610","1.0946","1.1075","1.0478","","-3.10%"
"03/01/2008","1.0949","1.0719","1.1169","1.0554","","1.96%"
"02/01/2008","1.0739","1.1164","1.1268","1.0525","","-3.75%"
"01/01/2008","1.1157","1.1431","1.1745","1.1083","","-2.27%"
"12/01/2007","1.1416","1.1324","1.1693","1.1225","","0.96%"
"11/01/2007","1.1308","1.0725","1.1556","1.0635","","5.54%"
"10/01/2007","1.0714","1.1256","1.1429","1.0699","","-4.93%"
"09/01/2007","1.1269","1.2252","1.2256","1.1247","","-7.84%"
"08/01/2007","1.2228","1.1756","1.3029","1.1539","","4.06%"
"07/01/2007","1.1751","1.1726","1.1824","1.1268","","-0.26%"
"06/01/2007","1.1782","1.2077","1.2094","1.1732","","-2.49%"
"05/01/2007","1.2083","1.2048","1.2250","1.1967","","0.35%"
"04/01/2007","1.2041","1.2343","1.2401","1.1909","","-2.64%"
"03/01/2007","1.2368","1.2694","1.3018","1.2302","","-2.55%"
"02/01/2007","1.2691","1.2868","1.2974","1.2579","","-1.44%"
"01/01/2007","1.2877","1.2686","1.2992","1.2519","","1.65%"
"12/01/2006","1.2668","1.2671","1.2852","1.2602","","-0.10%"
"11/01/2006","1.2681","1.2918","1.3135","1.2647","","-1.82%"
"10/01/2006","1.2916","1.3416","1.3487","1.2890","","-3.60%"
"09/01/2006","1.3398","1.3096","1.3453","1.2945","","2.35%"
"08/01/2006","1.3090","1.3060","1.3247","1.2955","","0.30%"
"07/01/2006","1.3051","1.3450","1.3519","1.3017","","-3.13%"
"06/01/2006","1.3472","1.3296","1.3756","1.3245","","1.35%"
"05/01/2006","1.3293","1.3177","1.3394","1.2825","","0.72%"
"04/01/2006","1.3198","1.3963","1.4055","1.3139","","-5.42%"
"03/01/2006","1.3955","1.3463","1.4255","1.3330","","3.63%"
"02/01/2006","1.3466","1.3184","1.3619","1.3170","","2.17%"
"01/01/2006","1.3180","1.3639","1.3673","1.3172","","-3.32%"
"12/01/2005","1.3632","1.3552","1.3824","1.3187","","0.65%"
"11/01/2005","1.3544","1.3362","1.3769","1.3356","","1.37%"
"10/01/2005","1.3361","1.3108","1.3444","1.3074","","1.75%"
"09/01/2005","1.3131","1.3249","1.3281","1.2875","","-0.86%"
"08/01/2005","1.3245","1.3222","1.3411","1.2890","","0.22%"
"07/01/2005","1.3216","1.3108","1.3579","1.3002","","0.78%"
"06/01/2005","1.3114","1.3229","1.3380","1.2799","","-0.89%"
"05/01/2005","1.3232","1.2812","1.3281","1.2771","","3.34%"
"04/01/2005","1.2804","1.2935","1.3118","1.2747","","-1.11%"
"03/01/2005","1.2948","1.2626","1.3039","1.2511","","2.61%"
"02/01/2005","1.2619","1.2893","1.3141","1.2563","","-2.19%"
"01/01/2005","1.2901","1.2804","1.3325","1.2768","","0.95%"
"12/01/2004","1.2779","1.2935","1.3436","1.2742","","-1.35%"
"11/01/2004","1.2954","1.3348","1.3449","1.2579","","-3.02%"
"10/01/2004","1.3357","1.3759","1.3915","1.3307","","-2.86%"
"09/01/2004","1.3750","1.4174","1.4590","1.3719","","-3.11%"
"08/01/2004","1.4191","1.4192","1.4369","1.3763","","-0.29%"
"07/01/2004","1.4232","1.4304","1.4425","1.3605","","-0.60%"
"06/01/2004","1.4318","1.3966","1.4733","1.3935","","2.40%"
"05/01/2004","1.3983","1.3831","1.4711","1.3613","","0.79%"
