"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2004","1.2564","1.2389","1.2727","1.2138","","1.39%"
"12/01/2003","1.2392","1.2926","1.3040","1.2306","","-4.00%"
"11/01/2003","1.2909","1.3397","1.3808","1.2876","","-3.63%"
"10/01/2003","1.3395","1.3199","1.3449","1.3029","","1.49%"
"09/01/2003","1.3198","1.4003","1.4243","1.3094","","-5.75%"
"08/01/2003","1.4003","1.3698","1.4275","1.3405","","2.22%"
"07/01/2003","1.3699","1.3499","1.3953","1.3367","","1.47%"
"06/01/2003","1.3500","1.3054","1.3615","1.2937","","4.01%"
"05/01/2003","1.2980","1.3550","1.3595","1.2776","","-4.19%"
"04/01/2003","1.3548","1.3512","1.4084","1.3487","","0.28%"
"03/01/2003","1.3510","1.3561","1.4055","1.3226","","-0.06%"
"02/01/2003","1.3518","1.3615","1.3799","1.3401","","-0.87%"
"01/01/2003","1.3636","1.3822","1.4089","1.3456","","-1.34%"
"12/01/2002","1.3821","1.4827","1.4983","1.3806","","-6.79%"
"11/01/2002","1.4828","1.4764","1.4930","1.4381","","0.43%"
"10/01/2002","1.4764","1.4756","1.5176","1.4723","","0.04%"
"09/01/2002","1.4758","1.4981","1.5311","1.4605","","-1.48%"
"08/01/2002","1.4979","1.4855","1.5243","1.4620","","0.83%"
"07/01/2002","1.4856","1.4818","1.5091","1.4351","","0.31%"
"06/01/2002","1.4810","1.5703","1.5780","1.4732","","-5.76%"
"05/01/2002","1.5715","1.6173","1.6197","1.5549","","-2.80%"
"04/01/2002","1.6168","1.6822","1.6824","1.6141","","-3.84%"
"03/01/2002","1.6814","1.6963","1.7144","1.6486","","-0.87%"
"02/01/2002","1.6961","1.7193","1.7237","1.6775","","-1.34%"
"01/01/2002","1.7192","1.6612","1.7230","1.6353","","3.47%"
"12/01/2001","1.6615","1.6428","1.6962","1.6248","","1.23%"
"11/01/2001","1.6413","1.6345","1.6776","1.6130","","0.44%"
"10/01/2001","1.6341","1.6246","1.6690","1.5989","","0.80%"
"09/01/2001","1.6212","1.6667","1.7133","1.5668","","-2.51%"
"08/01/2001","1.6629","1.7260","1.7270","1.6450","","-3.67%"
"07/01/2001","1.7262","1.7915","1.8228","1.7100","","-3.75%"
"06/01/2001","1.7935","1.7983","1.8080","1.7580","","-0.26%"
"05/01/2001","1.7981","1.7313","1.8008","1.7151","","3.85%"
"04/01/2001","1.7315","1.7454","1.7596","1.6835","","-0.66%"
"03/01/2001","1.7430","1.6691","1.7446","1.6394","","4.38%"
"02/01/2001","1.6699","1.6330","1.6995","1.6242","","2.23%"
"01/01/2001","1.6335","1.6134","1.6724","1.5891","","1.37%"
"12/01/2000","1.6115","1.7296","1.7380","1.6090","","-6.89%"
"11/01/2000","1.7308","1.7976","1.8180","1.7260","","-3.66%"
"10/01/2000","1.7966","1.7238","1.8309","1.7207","","4.17%"
"09/01/2000","1.7247","1.7399","1.7936","1.7148","","-0.92%"
"08/01/2000","1.7408","1.6692","1.7513","1.6637","","4.22%"
"07/01/2000","1.6703","1.6355","1.6869","1.6188","","2.20%"
"06/01/2000","1.6344","1.6823","1.6937","1.6102","","-2.85%"
"05/01/2000","1.6824","1.7183","1.7547","1.6698","","-2.34%"
"04/01/2000","1.7227","1.6624","1.7396","1.6197","","3.60%"
"03/01/2000","1.6629","1.6684","1.6871","1.6205","","-0.36%"
"02/01/2000","1.6689","1.6562","1.6996","1.5946","","0.76%"
"01/01/2000","1.6563","1.5920","1.6633","1.5419","","4.12%"
