Country,Quarter,Liabilities
AU,2010-Q3,1272412.958
BE,2010-Q3,1210088.347
BR,2010-Q3,230565.41
CA,2010-Q3,580694.106
CH,2010-Q3,1644377.809
CL,2010-Q3,19710.603
DE,2010-Q3,3285409.713
DK,2010-Q3,562810.834
ES,2010-Q3,706576.076
FI,2010-Q3,672601.359
FR,2010-Q3,5273519.6729999995
GB,2010-Q3,9624458.142
HK,2010-Q3,609638.4829999999
IE,2010-Q3,1604796.711
IT,2010-Q3,838835.7
JP,2010-Q3,2570918.693
NL,2010-Q3,2358153.89
SE,2010-Q3,561564.82
US,2010-Q3,7187629.971
AT,2010-Q4,463028.515
AU,2010-Q4,1287908.328
BE,2010-Q4,1238421.589
BR,2010-Q4,216442.311
CA,2010-Q4,625857.935
CH,2010-Q4,1624063.039
CL,2010-Q4,34301.445
DE,2010-Q4,2983806.441
DK,2010-Q4,363282.291
ES,2010-Q4,679517.645
FI,2010-Q4,765363.245
FR,2010-Q4,4795331.925
GB,2010-Q4,9439603.965
HK,2010-Q4,644241.289
IE,2010-Q4,705562.0079999999
IT,2010-Q4,717192.26
JP,2010-Q4,2325950.258
NL,2010-Q4,1863143.139
SE,2010-Q4,452220.208
US,2010-Q4,7243825.695
AT,2011-Q1,584567.329
AU,2011-Q1,1308064.577
BE,2011-Q1,1130178.512
BR,2011-Q1,278483.888
CA,2011-Q1,619889.36
CH,2011-Q1,1528846.568
CL,2011-Q1,42591.906
DE,2011-Q1,3001178.006
DK,2011-Q1,383357.185
ES,2011-Q1,717086.621
FI,2011-Q1,822809.103
FR,2011-Q1,5231635.193
GB,2011-Q1,9625255.75
HK,2011-Q1,636824.099
IE,2011-Q1,985458.965
IT,2011-Q1,802427.333
JP,2011-Q1,2283973.835
NL,2011-Q1,2108412.049
SE,2011-Q1,618375.941
US,2011-Q1,8554331.191
AT,2011-Q2,549891.771
AU,2011-Q2,1544481.259
BE,2011-Q2,1184877.942
BR,2011-Q2,299769.835
CA,2011-Q2,643320.836
CH,2011-Q2,1717202.435
CL,2011-Q2,40159.471
DE,2011-Q2,2977877.202
DK,2011-Q2,379220.025
ES,2011-Q2,835609.846
FI,2011-Q2,804250.005
FR,2011-Q2,5368295.255
GB,2011-Q2,9673842.443
HK,2011-Q2,739570.382
IE,2011-Q2,998741.813
IT,2011-Q2,820268.078
JP,2011-Q2,2196369.744
NL,2011-Q2,2094347.217
