Country,Quarter,Interest Rate (%),Bond Yield,Difference
CH,2007Q3,3.25,3.0703333333333336,-0.17966666666666642
CH,2007Q4,3.25,2.8859999999999997,-0.3640000000000003
CH,2008Q1,3.25,2.673666666666667,-0.5763333333333329
CH,2008Q2,3.25,2.908,-0.3420000000000001
CH,2008Q3,3.25,2.4683333333333333,-0.7816666666666667
CH,2008Q4,1.0,1.898,0.8979999999999999
CH,2009Q1,0.75,1.4123333333333334,0.6623333333333334
CH,2009Q2,0.75,1.412,0.6619999999999999
CH,2009Q3,0.75,1.172,0.42199999999999993
CH,2009Q4,0.75,1.167,0.41700000000000004
CH,2010Q1,0.75,0.899,0.14900000000000002
CH,2010Q2,0.75,0.7436666666666666,-0.006333333333333413
CH,2010Q3,0.75,0.6343333333333333,-0.1156666666666667
CH,2010Q4,0.75,0.9953333333333332,0.24533333333333318
CH,2011Q1,0.75,1.3066666666666666,0.5566666666666666
CH,2011Q2,0.75,1.1926666666666668,0.44266666666666676
CH,2011Q3,0.25,0.5286666666666667,0.27866666666666673
CH,2011Q4,0.25,0.2853333333333334,0.03533333333333338
CH,2012Q1,0.25,0.264,0.014000000000000012
CH,2012Q2,0.25,0.131,-0.119
CH,2012Q3,0.25,-0.0103333333333333,-0.2603333333333333
CH,2012Q4,0.25,0.0256666666666666,-0.22433333333333338
CH,2013Q1,0.25,0.205,-0.04500000000000001
CH,2013Q2,0.25,0.1873333333333333,-0.0626666666666667
CH,2013Q3,0.25,0.2463333333333333,-0.003666666666666707
CH,2013Q4,0.25,0.168,-0.08199999999999999
CH,2014Q1,0.25,0.1863333333333333,-0.0636666666666667
CH,2014Q2,0.25,0.1476666666666666,-0.10233333333333339
CH,2014Q3,0.25,0.0836666666666666,-0.1663333333333334
CH,2014Q4,0.25,-0.0289999999999999,-0.2789999999999999
CH,2015Q1,-0.25,-0.429,-0.179
CH,2015Q2,-0.25,-0.4686666666666667,-0.21866666666666668
CH,2015Q3,-0.25,-0.622,-0.372
CH,2015Q4,-0.25,-0.8033333333333333,-0.5533333333333333
CH,2016Q1,-0.25,-0.7973333333333333,-0.5473333333333333
CH,2016Q2,-0.25,-0.8133333333333334,-0.5633333333333334
CH,2016Q3,-0.25,-0.8636666666666667,-0.6136666666666667
CH,2016Q4,-0.25,-0.718,-0.46799999999999997
CH,2017Q1,-0.25,-0.6193333333333334,-0.3693333333333334
CH,2017Q2,-0.25,-0.5606666666666666,-0.31066666666666665
CH,2017Q3,-0.25,-0.5093333333333333,-0.2593333333333333
CH,2017Q4,-0.25,-0.4923333333333333,-0.2423333333333333
CH,2018Q1,-0.25,-0.4256666666666666,-0.17566666666666658
CH,2018Q2,-0.25,-0.49,-0.24
CH,2018Q3,-0.25,-0.4059999999999999,-0.15599999999999992
CH,2018Q4,-0.25,-0.4973333333333333,-0.2473333333333333
CH,2019Q1,-0.25,-0.598,-0.348
CH,2019Q2,-0.75,-0.7526666666666667,-0.002666666666666706
CH,2019Q3,-0.75,-0.989,-0.239
CH,2019Q4,-0.75,-0.703,0.04700000000000004
CH,2020Q1,-0.75,-0.7316666666666668,0.0183333333333332
CH,2020Q2,-0.75,-0.6316666666666667,0.11833333333333329
CH,2020Q3,-0.75,-0.6890000000000001,0.06099999999999994
